,Year,Flows In [Mt],Flows Out [Mt],Stock [Mt]
54,2004,34.70151700743526,5.502291552275852,1065.979050445613
55,2005,37.66160720386223,5.719929434336873,1095.7336057326747
56,2006,40.80047048379465,5.944998916342135,1128.324434512088
57,2007,44.21165910561552,6.177607351264408,1163.981297354222
58,2008,43.085229087054586,6.417813696030401,1198.2397183157
59,2009,43.643367860847356,6.665306035965914,1232.8586472771806
60,2010,45.58650196617397,6.920181159738644,1268.9855953450628
61,2011,47.427680206924556,7.182471560434281,1306.6350031970758
62,2012,49.379190842387565,7.452057034410533,1345.795524815651
63,2013,51.464924445202804,7.728891735665377,1386.4026847095256
64,2014,53.20145963162645,8.012826514018197,1428.357911241567
65,2015,54.84154580584886,8.303756040322577,1471.5549228257387
66,2016,56.38771333678972,8.601541040396544,1515.8962187299826
67,2017,57.83959037054576,8.906024707078561,1561.285221254262
68,2018,59.17333424910713,9.217036586932966,1607.603494738074
69,2019,60.37952182595049,9.534396960070447,1654.7245266780865
70,2020,61.446221000564954,9.8579183605861,1702.5103553180643
71,2021,62.35619250918437,10.187409100277423,1750.8059971940293
72,2022,63.106239993867405,10.522675824395664,1799.4529616521486
73,2023,63.70742047593109,10.8635264874582,1848.3035921740816
74,2024,64.16676867094468,11.209772496929217,1897.2168774740373
75,2025,64.48623726978563,11.56123089000307,1946.0540052592248
76,2026,64.66202692791417,11.91772485411459,1994.6731143618767
77,2027,64.70314248342935,12.279084003174841,2042.9413280310503
78,2028,64.63360180742256,12.645146225611093,2090.748655151775
79,2029,64.47155830717394,13.015760310889338,2138.002581963166
80,2030,64.23122583653465,13.390785995173092,2184.6242282360154
81,2031,63.92416872785588,13.770094166787995,2230.5458207751653
82,2032,63.565042991860295,14.15356701461293,2275.7135526433667
83,2033,63.17390989879717,14.541098119397608,2320.0927013639575
84,2034,62.76751018766851,14.932592567909577,2363.664484808706
85,2035,62.36218767836824,15.327966553419714,2406.4257923450564
86,2036,61.97527520971911,15.727147044675915,2448.3901643575714
87,2037,61.61899883803867,16.130071603267897,2489.5829097114697
88,2038,61.30125172053213,16.536687607427584,2530.03687177607
89,2039,61.030562084977554,16.946951475829472,2569.793085816318
90,2040,60.81723799361605,17.360828268076144,2608.90238486767
91,2041,60.67351245749494,17.77829133084256,2647.427199952971
92,2042,60.60555469335403,18.199322058167326,2685.4358359521125
